"","ID","Post_URL","Img_URL","Likes","Owner","Text","Date","Comments","Type"
"1","CKAJXKXHz68","http://instagram.com/p/CKAJXKXHz68","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/138395924_443174676705181_3450755151962982321_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=8nIaUDdAXL8AX-SwtWs&tp=1&oh=29bfb8af5916021a22f7988f4e4e3ed9&oe=602A5C53","0","39141801086","Que puedas tener una excelente tarde🌄 #psicologia #psicologiapositiva #saludmental #mentesana #mentepositiva #psicoment","2021-01-13 19:41:13","0","GraphImage"
"2","CKAJWgLpY4e","http://instagram.com/p/CKAJWgLpY4e","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/137564465_409821093409345_405556288470180606_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=Qyj27nD8u-QAX8lUOE_&tp=1&oh=7a092577ee59182854d3845199d1ae93&oe=6028D3E7","0","45415419344","ATENÇÃO!!‼️  Você que está se sentindo exausto de uma maneira que as pessoas não entendem, ansioso ou irritado, você PRECISA mudar de vida pra melhor!!🙏🏻✨  Me chame no Direct ou comente ""Eu Quero"".  #psicologiapositiva #psicologia #pscicologia #psicoterapia #saudemental #saudeemocional #saúde #saudedocorpo #saudeebemestar #bemestar #bemestaresaude #ansiedadeamil #ansiedade #ansiedadenãoéfrescura #depressãonãoéfrescura #saudeemocional","2021-01-13 19:41:08","0","GraphImage"
"3","CKAJWcRA1au","http://instagram.com/p/CKAJWcRA1au","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/138438503_202274451578344_4390563437438034691_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=dE_AfWaszGgAX9JXiMt&tp=1&oh=222030c0c3b9e7bfcf88c83c872d73d6&oe=6028D14F","0","6161499878","Procure ajuda, faça terapia. 💙  #psicologiaclinica #psicologa #psicologiapositiva #psic #paicologiainteligente #psicologiaonline #psicology #psychology #terapia #terapiaonline #terapiafazbem #façaterapia #amoreterapia #façaterapia #zelopsi #saudemental #facaterapia #cuidese #psicologia #psiquiatria #selfcare #mentalhealth #psychotherapy #saudementalimporta #mentesadia #autocuidado #therapy #mentalcare #psychiatry #consulteumpsicologo #invistaemvoce.","2021-01-13 19:41:07","0","GraphSidecar"
"4","CKAJV_6nJIx","http://instagram.com/p/CKAJV_6nJIx","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/138343222_1139934286423577_922423802338076679_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=dNwO6wfyp7gAX-uc04H&tp=1&oh=970ecffaf4d961ef34ab08a168c328bf&oe=6027847E","2","4773637312","E hoje foi dia de conversar com essa minha parceira de trabalho Andreia Freitas do Insta @achavepar sobre os Workshops de Psicologia & Moda que realizamos no ano passado!!! . E vem Novidades por aí!!! . Já estamos organizando os Workshops desse ano!!! . Fiquem ligados que vamos informando por aqui!!! . . . #PraTodosVerem: Montagem de fotos com duas fotos de chamadas de vídeo, eu e a Andreia Freitas, sorrindo. São 4 quadrados de fotos, com duas fotos do rosto de cada uma, espelhadas.  . . . #call #conversa #workshop #online #psicologia #moda #agenda #2021 #vemnovidadesporaí #achaveparaaartedeserelacionar #autoconhecimentoeguardaroupa","2021-01-13 19:41:03","0","GraphImage"
"5","CKAJVuOLDLw","http://instagram.com/p/CKAJVuOLDLw","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/138231775_446660373028556_682692679279698855_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=xz828AUrfHIAX_Vod7z&tp=1&oh=103e346f1b8a0d542c35bbc9ee4e934b&oe=602A38CF","0","38048512264","#saúde #psicologia #psicologiaclinica  #saúdemental #psicológico #psicólogo","2021-01-13 19:41:01","0","GraphImage"
"6","CKAJVDSgKyv","http://instagram.com/p/CKAJVDSgKyv","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/137666954_698639247473934_5682676072569518301_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=oEavoIDua4cAX9V6Xv2&tp=1&oh=968937c1a23f3a226aa533dec48c1a16&oe=602AEC10","5","31246691806","""As pessoas querem saber mais da gente do que nós mesmos, sendo que nem nós mesmos temos a clareza da nossa própria totalidade.""   Essa frase impactou a vocês da forma que me impactou? É incrível o quanto as pessoas acham que sabem sobre nós, quando na realidade nem nós nos conhecemos por completo.   A frase ""cada ser é um universo"" nunca fez tanto sentido. Temos dentro de nós algumas galáxias desconhecidas, estrelas sendo formadas dia após dias, constelações se fragmentado, pedras e poeiras.   Conhecer esse universo todo talvez demande uma vida inteira. talvez não. Mas a cada passo que damos, mesmo que bem pequenos, nos aproximamos mais do autoconhecimento.   Deixe o outro descobrir o universo que nele existe. Se preocupe em solucionar seus próprios enredos. E aproveite a visão da imensidão que é ser você. 🌎✨🔭  post: @pam.kirsner texto: @silenciosa.mente   #autoconfiança #autoamor #autoestima #autoconhecimento #autocuidado #ansiedadegeneralizada #ansiedadegeneralizada #depressãonãoéfrescura #depressao #psi #psicologia #saudemental #saude #amor #vida #relacionamentoabusivo #relacionamentotoxico #empatia #desabafo #universo","2021-01-13 19:40:56","0","GraphSidecar"
"7","CKAJUk5hcE0","http://instagram.com/p/CKAJUk5hcE0","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/137656327_818999358832044_7302121356051346450_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=rdHOhrcIDqsAX9QuGyj&tp=1&oh=543d2f0e4f8b3ff9a4a33853b40e13d5&oe=6028E3B2","3","2919014201","• VEJA OS STORIES 🤹🏽‍♂️🍃 • SIGAM: @euversifiquei_ ♥️ ⬇️ Marque os Amigos ⬇️  .  .  .  #depressãonãoéfrescura #ansiedadegeneralizada #ansiedadenãoéfrescura #setembroamarelo #seame #prevençãoaosuicídio #voceeforte #frasesinspiradoras #textoscrueisdemaisparaseremlidosrapidamente  #frasesmotivacionais #frasesdiarias #textoscrueisdemaisparaseremlidosrapidamente #psicologia #terapia #autoestima #instalike #instagram #inteligenciaemocional #felicidade   #psicologias #psicologas #psicologiaclínica #psiclove #procureumpsicólogo #psicologiacomamor #frasesinspiradoras #frases #frasesvida #façaterapia","2021-01-13 19:40:52","0","GraphImage"
"8","CKAJUdgMjzh","http://instagram.com/p/CKAJUdgMjzh","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/138606652_234352534804810_969304125660876600_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=6HamlimJNPQAX8ysdLk&tp=1&oh=8b3b38a949c62f0096c077438bcbc1bb&oe=602A9B4D","0","15005157893","O Transtorno do Espectro Autista (TEA) engloba diferentes condições marcadas por distúrbios do desenvolvimento neurológico com três características fundamentais, que podem manifestar-se em conjunto ou isoladamente. São elas: dificuldade de comunicação por deficiência no domínio da linguagem e no uso da imaginação para lidar com jogos simbólicos, dificuldade de socialização e padrão de comportamento restritivo e repetitivo. Aqui na @psiquebem nós temos atendimento psicológico especializado em crianças com TEA, em um ambiente próprio e acolhedor.   👉 Mande um inbox/direct e fale conosco! .  Agende a sua consulta com valores acessíveis na nossa clínica na Tijuca e se surpreenda com nosso atendimento especializado! . .  Funcionamos de segunda a sexta-feira de 9h00 as 20h00 e Sábado até às 12h. Agende a sua consulta pelos: . ☎ (21) 3420-1847 📲 (21) 97209-1346 (WhatsApp) . 📍 Rua Soriano de Souza, 115 - Sala 610 - Tijuca (do lado do metrô da Saens Pena)  Ambiente bonito e acolhedor Atendimento Infantil, Adulto e Idosos Valores acessíveis Facilidade para pagamentos Atendimento especializado para criança com TEA (Transtorno do Espectro Autista)  E mais!  #tijuca #psicologia #psicologiainfantil #tea #autismo #psicologiarj #psicologosrj #gestalterapia #gestalt #terapiainfantil","2021-01-13 19:40:51","0","GraphImage"
"9","CKAJUF1jBQJ","http://instagram.com/p/CKAJUF1jBQJ","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/137623862_311896886916518_1237015806102352946_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=pgledkS2AOsAX-2HP2J&tp=1&oh=b68286b9b93201c06d09365e57c15abd&oe=602A1C32","0","38942156112","Em tempos de isolamento social, precisamos nos conectar!  #atendimentoonline #alinhar #psicologia #Psicoterapia #psicologomanaus #saudemental #saude #cuidado #atendimento #pandemia","2021-01-13 19:40:48","0","GraphSidecar"
"10","CKAJT-fl55T","http://instagram.com/p/CKAJT-fl55T","https://instagram.fslz6-1.fna.fbcdn.net/v/t51.2885-15/e35/138326017_196897878718262_995474238775190832_n.jpg?_nc_ht=instagram.fslz6-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=9dD3FBjKg1QAX9sdmD8&tp=1&oh=3d87e133223ff72a7554c4bed299acac&oe=60282905","2","504552198","Quem concorda? . . . .#psicologiahumanista #psicologiacognitiva #psicologiapositiva #psicologo #psicóloga #psicologaonline #psicoterapia #terapiacognitiva #psicologa #psicologiaonline #saúde #saúdemental #pensamento #comportamento #façaterapia #procureumpsicólogo #psicologia #psicoterapia #neuropsicologia #saúdeemocional","2021-01-13 19:40:47","0","GraphImage"
